customer_id,customer_fname,customer_lname,customer_city,customer_state,total_orders,total_spent
10744,Samantha,Smith,Palatine,IL,26,7284.4
5454,Mary,Smith,Ogden,UT,30,7279.27
6305,Mary,Smith,Mount Pleasant,MI,35,7273.23
2444,Kenneth,Smith,Moline,IL,37,7267.19
11048,Randy,Ball,Caguas,PR,40,7239.14
11768,Virginia,Smith,Miami,FL,33,7237.06
2970,Kenneth,Smith,Brownsville,TX,42,7231.15
2041,Paul,Garcia,Saint Paul,MN,28,7220.26
468,Mary,Stone,Caguas,PR,32,7211.27
5293,Michelle,Callahan,Sacramento,CA,35,7209.1
7445,Mary,Smith,Santa Cruz,CA,31,7199.31
10291,Ann,Smith,Aurora,CO,31,7195.46
10263,Katherine,Bailey,Germantown,MD,34,7189.34
9358,Mary,Smith,Caguas,PR,33,7183.28
6615,Mary,Meadows,Olathe,KS,35,7179.19
6341,Daniel,Smith,Caguas,PR,36,7169.25
3938,Mary,Smith,Albuquerque,NM,33,7163.23
3957,Thomas,Smith,Cumberland,MD,32,7149.21
3420,Kenneth,Price,Catonsville,MD,31,7129.32
4116,Mary,Smith,Elgin,IL,36,7114.26
9580,Mary,Robbins,Las Vegas,NV,30,7109.17
5803,Rebecca,Stewart,Jamaica,NY,32,7099.13
7962,Justin,Smith,Caguas,PR,34,7097.1
1540,Mary,Mckee,Pittsfield,MA,30,7094.43
687,Ronald,Harrison,Garden Grove,CA,33,7093.08
5582,Gloria,Larson,Chicago,IL,31,7081.34
1780,Larry,Sharp,Caguas,PR,30,7071.28
11645,Mary,Ward,Summerville,SC,36,7062.3
7670,Anna,Smith,Houston,TX,39,7049.32
2851,Mary,Huffman,Caguas,PR,32,7037.36
11378,Mary,Foster,Anaheim,CA,38,7034.16
12226,Nicholas,Smith,Staten Island,NY,35,7032.28
11344,Mary,Sparks,Caguas,PR,33,7027.06
9337,Mary,Smith,Chicago,IL,35,7025.28
11654,Michelle,Acosta,Santa Cruz,CA,32,7021.2
6285,Mary,Garcia,Brooklyn,NY,37,7017.97
467,James,Smith,Modesto,CA,31,6992.3
9490,Mary,Glass,La Mesa,CA,28,6984.24
7417,Mary,Soto,Caguas,PR,36,6984.18
4812,Nathan,Fritz,Caguas,PR,33,6984.05
9697,Stephen,Williams,Vega Baja,PR,31,6958.19
5828,Katherine,Oconnell,Caguas,PR,33,6950.13
6050,Rebecca,Arnold,Endicott,NY,36,6940.1
7954,Danielle,Smith,York,PA,31,6939.19
3979,Mary,Wagner,Caguas,PR,39,6939.13
11656,Mary,Wyatt,Aurora,CO,32,6937.13
2813,Mary,Smith,Caguas,PR,26,6929.4
6696,Mary,Spencer,Alpharetta,GA,34,6927.01
12180,Mary,Allen,Zanesville,OH,28,6924.48
8015,Mary,Blackburn,Caguas,PR,40,6910.89
3369,Joseph,Clark,Rome,NY,36,6893.28
3554,Michael,Smith,Los Angeles,CA,33,6892.21
8314,Angela,Walsh,Detroit,MI,33,6891.15
154,Emily,May,Brandon,FL,30,6889.36
10549,Mary,Atkinson,Baltimore,MD,32,6881.18
3879,Melissa,Davis,Caguas,PR,26,6879.43
8018,Ruth,Shepherd,Grove City,OH,33,6849.28
4022,Mary,Harding,Garland,TX,29,6849.27
9743,David,Smith,San Francisco,CA,31,6828.29
3199,Ashley,Hernandez,New York,NY,37,6828.07
12039,Mary,Wilson,Caguas,PR,37,6823.15
2074,Mary,Gross,Caguas,PR,34,6821.15
11426,Mary,Smith,Caguas,PR,38,6814.28
11983,Mary,Bell,Chicago,IL,32,6801.16
10175,Michael,Gibson,Brooklyn,NY,34,6799.16
6049,Patricia,Smith,Florissant,MO,29,6789.38
8170,Rachel,Smith,Henderson,NV,32,6783.26
5168,Mary,Smith,Fort Worth,TX,30,6781.14
8964,Mary,Berger,Louisville,KY,26,6779.42
2224,Ann,Mercado,Caguas,PR,31,6774.46
5001,Ann,Waller,Caguas,PR,27,6769.47
2595,Amy,Smith,Caguas,PR,27,6769.28
3550,Mary,Garner,Philadelphia,PA,32,6767.23
7892,Michael,Hayes,Dallas,TX,29,6766.21
7358,Michael,Simpson,Carmichael,CA,37,6754.21
437,Cynthia,Benjamin,Caguas,PR,33,6750.27
2740,Robert,Williams,Caguas,PR,25,6749.41
10829,Anthony,Smith,Caguas,PR,32,6749.26
1012,Mark,Watts,Silver Spring,MD,33,6749.06
5563,Paul,Trevino,West Chester,PA,36,6744.06
5173,Mary,Smith,Corona,CA,33,6723.21
4491,Mary,Banks,Elmhurst,NY,29,6719.38
2113,David,Smith,Harvey,IL,35,6713.23
5371,Emma,Robinson,Caguas,PR,31,6704.45
1588,Mary,Smith,Caguas,PR,42,6694.19
9515,Victoria,Smith,Caguas,PR,21,6689.55
482,Megan,Moreno,Caguas,PR,34,6689.26
11503,Juan,Curry,Saginaw,MI,34,6686.38
6812,Sharon,Smith,Cleveland,OH,25,6685.42
5493,Mary,Cochran,Jersey City,NJ,37,6684.06
5072,Jacob,Smith,New York,NY,32,6679.43
12420,Nathan,Adams,Caguas,PR,29,6674.29
3889,Mary,Smith,Caguas,PR,31,6670.26
230,Kimberly,Smith,Caguas,PR,25,6648.42
1025,Megan,Todd,Caguas,PR,27,6639.55
4539,Jacqueline,James,Houston,TX,36,6632.2
8820,Jessica,Smith,San Jose,CA,31,6619.45
9897,Marilyn,Smith,San Jose,CA,27,6619.4
5867,Beverly,Jackson,Tallahassee,FL,31,6619.34
9073,Thomas,Skinner,Bayamon,PR,32,6619.24
6303,Mary,Smith,Elgin,IL,32,6617.26
58,Michael,Edwards,Caguas,PR,26,6615.16
7139,Mary,Smith,Baldwin Park,CA,28,6609.28
1599,Andrew,Smith,Caguas,PR,30,6605.28
9368,Mary,Cabrera,Caguas,PR,28,6604.49
6977,Mary,Short,Caguas,PR,29,6604.47
4627,Eric,Lang,Arlington Heights,IL,31,6604.36
3259,Mary,Gallegos,New York,NY,33,6594.46
172,Lauren,Rush,Chino,CA,32,6591.23
6143,Deborah,Barber,Irving,TX,30,6589.23
5778,Evelyn,Smith,Eagle Pass,TX,28,6587.31
10111,Mary,Garcia,Westerville,OH,38,6585.23
1932,Shirley,Perez,Irving,TX,30,6584.24
7857,Jean,Bentley,Caguas,PR,35,6580.47
1844,Teresa,Smith,Caguas,PR,27,6579.39
6953,Benjamin,Smith,Brooklyn,NY,30,6577.23
10601,Patrick,Mayo,Walnut,CA,31,6574.12
1537,Linda,Murray,Pompano Beach,FL,31,6567.26
4181,Aaron,Hudson,Ventura,CA,29,6563.21
7597,Catherine,Smith,Paramount,CA,32,6555.33
7717,Terry,Smith,Princeton,NJ,30,6549.22
10129,Mary,Kidd,Philadelphia,PA,34,6535.28
1136,Mary,Smith,Ballwin,MO,29,6534.23
11132,Jonathan,Washington,Caguas,PR,31,6533.09
5560,Mary,Rodriguez,Caguas,PR,29,6528.21
11337,Mary,Howell,Danbury,CT,24,6525.33
1148,Mary,Anderson,Augusta,GA,22,6524.42
4394,Christopher,Smith,Provo,UT,30,6514.36
11534,Mary,Kim,Caguas,PR,26,6509.44
12406,Mary,Michael,Caguas,PR,30,6507.39
11475,Mary,Garner,Houston,TX,29,6498.3
5028,Joseph,Lucero,Miami,FL,29,6495.15
2197,Joseph,Smith,Caguas,PR,32,6493.22
1107,Nicole,Miller,Waipahu,HI,29,6489.3
10699,Mary,Lee,Jacksonville,FL,31,6474.44
9760,Mary,Wolf,Caguas,PR,30,6474.24
2229,Mary,Hunt,Caguas,PR,37,6473.31
1445,Linda,Ortiz,San Diego,CA,35,6473.27
8861,Mary,Smith,Caguas,PR,32,6469.2
7633,Emily,Smith,Caguas,PR,36,6468.2
6664,Mary,Hall,Portland,OR,33,6464.99
11985,Jennifer,Moss,Perth Amboy,NJ,30,6464.41
4659,Paul,Smith,Caguas,PR,27,6459.2
4530,Mary,Smith,Miami,FL,29,6454.28
11887,Christopher,Smith,Caguas,PR,31,6453.44
5015,Mary,Gutierrez,Caguas,PR,28,6449.02
7001,Mary,Weeks,Caguas,PR,29,6444.22
5875,Mary,Rodgers,Philadelphia,PA,33,6429.16
12221,Betty,Sanchez,Caguas,PR,32,6429.03
7305,David,Smith,Brooklyn,NY,25,6428.39
2220,James,Smith,Caguas,PR,25,6427.35
197,Ruth,Smith,Caguas,PR,33,6423.33
11733,Christopher,Chan,Yauco,PR,31,6420.43
6587,Heather,Henson,Lancaster,PA,33,6409.43
1417,Rachel,Smith,Caguas,PR,30,6409.25
8522,Mary,Smith,Findlay,OH,29,6399.42
3556,Mary,Lane,Caguas,PR,27,6394.35
11947,Mary,Smith,Chicago,IL,30,6389.41
123,Mary,Mann,Bend,OR,33,6389.32
2860,George,Smith,Caguas,PR,38,6387.28
5583,Mary,Skinner,Caguas,PR,32,6384.18
9502,Matthew,Love,El Paso,TX,32,6381.01
7852,Mary,Greene,San Francisco,CA,28,6379.47
221,Mary,Cox,Columbus,OH,34,6378.47
6101,Mary,Smith,Los Angeles,CA,29,6371.33
7926,Bobby,Castillo,Freeport,NY,26,6369.4
1826,Matthew,Smith,Caguas,PR,31,6367.26
938,Cheryl,Smith,Madison,WI,31,6364.32
2330,Sharon,Sellers,Corona,CA,33,6356.21
7273,Mary,Smith,Bayamon,PR,31,6334.16
1948,Peter,Smith,Caguas,PR,29,6319.34
7211,Kathleen,Smith,Littleton,CO,30,6314.36
685,Crystal,Smith,Caguas,PR,27,6313.3
9504,Mary,Smith,Caguas,PR,26,6309.46
5952,Jacob,Smith,Clearfield,UT,27,6299.49
1747,Mary,Booker,Burnsville,MN,26,6299.37
2773,Linda,Hale,Caguas,PR,31,6299.37
10375,Joan,James,Caguas,PR,32,6299.14
5054,Paul,Thomas,Brooklyn,NY,33,6293.2
1426,Mary,Conner,Long Beach,CA,26,6279.58
6660,Christine,Smith,Spring Valley,CA,30,6278.09
11218,Louis,Novak,Murfreesboro,TN,29,6277.31
2626,Laura,Smith,Oceanside,CA,27,6274.36
4460,Mary,Smith,Los Angeles,CA,27,6273.41
11738,Samuel,Bryan,Caguas,PR,28,6269.25
11156,Jessica,Valdez,Caguas,PR,30,6267.36
11833,Mary,Weaver,Strongsville,OH,29,6264.24
7460,Ethan,Smith,East Brunswick,NJ,31,6263.17
8016,Patricia,Smith,Carson,CA,26,6259.4
2389,Mary,Smith,Memphis,TN,31,6257.14
3303,Mary,Robinson,Caguas,PR,32,6251.35
6643,Nicholas,Smith,Caguas,PR,29,6249.32
11134,Robert,Lopez,Caguas,PR,29,6249.11
6137,Eric,Smith,Tustin,CA,31,6245.37
10610,Nancy,Bryant,Caguas,PR,28,6243.48
9928,Mary,Smith,Aurora,IL,35,6241.1
7789,Mary,Sullivan,Caguas,PR,27,6239.55
8156,Hannah,Smith,Los Angeles,CA,32,6237
2021,Theresa,Smith,West Jordan,UT,29,6231.34
11295,Mary,Ayala,Chula Vista,CA,28,6231.34
6474,Madison,Smith,Caguas,PR,34,6224.14
6213,Michael,Richardson,Rock Hill,SC,32,6223.23
8652,Kenneth,Newman,Woodside,NY,29,6222.29
2303,Brittany,Smith,Chicago,IL,28,6219.19
11931,Elizabeth,Howell,Philadelphia,PA,36,6218.2
5477,Mary,Smith,Caguas,PR,28,6205.29
10198,Mary,Smith,Hamilton,OH,26,6199.46
10108,Jose,Smith,El Paso,TX,31,6199.02
4599,Mary,Smith,Newark,NJ,32,6197.24
8052,Pamela,Smith,La Mesa,CA,31,6189.34
4588,Melissa,Rosario,Tampa,FL,32,6188.33
1285,Ruth,Petersen,Caguas,PR,25,6184.37
5491,Sharon,Smith,Caguas,PR,25,6169.44
8380,Brittany,Smith,Caguas,PR,33,6169.33
3031,Carol,Smith,Brooklyn,NY,24,6159.52
12094,Mary,Smith,Brooklyn,NY,28,6159.41
11112,Jessica,Cowan,Caguas,PR,30,6154.26
1824,Julia,Tucker,Caguas,PR,34,6151.36
5519,Deborah,Archer,Caguas,PR,34,6151.23
6893,Deborah,Smith,Caguas,PR,25,6149.37
10672,Mary,Smith,Los Angeles,CA,32,6149.09
5138,William,Rivera,Ventura,CA,28,6144.19
10707,Mary,Hansen,Caguas,PR,30,6143.44
10761,David,Smith,Caguas,PR,28,6134.51
1578,Lisa,Harper,Fort Lauderdale,FL,25,6134.27
8511,Mary,Smith,Caguas,PR,29,6131.51
7664,Brandon,Walker,Piscataway,NJ,27,6129.34
1636,Julie,Petersen,Fort Washington,MD,26,6129.23
9107,Mark,Nunez,Los Angeles,CA,33,6129.2
7060,Virginia,Carroll,Caguas,PR,29,6128.29
9597,Lori,Perez,Caguas,PR,28,6123.46
7435,Susan,Smith,Caguas,PR,28,6119.56
4517,Mary,Cline,Caguas,PR,33,6119.38
8078,Janet,Thomas,Brooklyn,NY,31,6114.17
5321,Robert,Rowe,Caguas,PR,31,6110.39
6266,Deborah,Hunter,Carolina,PR,27,6109.19
6130,Donald,Rodriguez,Tulare,CA,24,6104.41
3781,Richard,Lara,Hamtramck,MI,28,6099.41
8664,Mary,Smith,El Cajon,CA,31,6095.35
11305,Mary,Hartman,Caguas,PR,26,6089.38
9740,Mary,Smith,San Jose,CA,31,6089.23
3038,Mary,Schmidt,Caguas,PR,31,6083.23
8071,Gary,Baker,Plano,TX,26,6069.38
4454,Robert,Smith,San Ramon,CA,30,6069.18
10008,Arthur,Garrison,Staten Island,NY,27,6066.35
1979,Kimberly,Kramer,Caguas,PR,31,6063.19
9833,Jacob,Smith,Caguas,PR,24,6059.38
4290,Lori,Davis,Caguas,PR,34,6059.28
11884,Evelyn,Contreras,Caguas,PR,29,6054.27
3983,Mary,Smith,Caguas,PR,28,6049.36
5175,Mary,Sullivan,Huntington Park,CA,28,6047.44
1664,Mary,Arnold,Jackson,MI,30,6044.46
5752,Barbara,Smith,Albuquerque,NM,32,6044.42
4980,Mary,Wilson,Brooklyn,NY,29,6038.15
3800,Shawn,Smith,Germantown,MD,27,6033.55
291,John,Smith,Bristol,CT,22,6029.48
10185,Austin,Buck,Caguas,PR,26,6023.45
7190,Mary,Mckinney,Caguas,PR,32,6021.28
4697,Kathryn,Singh,Caguas,PR,26,6019.42
3735,Mary,Lewis,El Centro,CA,27,6019.33
2462,Lawrence,Kent,Long Beach,CA,28,6015.36
8524,Ruth,Farrell,Caguas,PR,31,6015.32
697,Harold,Pratt,Washington,DC,32,6014.33
12,Christopher,Smith,San Antonio,TX,28,6009.35
8847,Ruth,Brown,Baltimore,MD,28,6007.21
12205,Roy,Smith,Chicago,IL,27,6001.26
2537,Mary,Smith,Phoenix,AZ,26,5999.53
11901,Mary,Smith,Saint Louis,MO,27,5999.53
1014,Mary,Maxwell,Jamaica,NY,31,5999.2
8192,Kathryn,Marshall,Houston,TX,34,5994.44
1972,Marilyn,Smith,Caguas,PR,33,5994.32
11422,Mary,Jones,Moreno Valley,CA,34,5993.96
4936,Kyle,Smith,Caguas,PR,31,5993.24
2842,Charles,Johnson,Chino Hills,CA,27,5989.49
2625,Betty,Wyatt,Caguas,PR,31,5987.37
10634,Mary,King,Laguna Niguel,CA,26,5986.39
12235,Jane,Smith,Winnetka,CA,26,5979.56
9213,Jennifer,Williamson,Rio Grande,PR,25,5979.52
1782,Robert,Smith,Fort Worth,TX,30,5979.18
10635,Donna,Torres,Caguas,PR,26,5975.36
1054,Barbara,Cooley,Chicago,IL,25,5974.48
7278,Mary,Liu,Tucson,AZ,32,5969.95
10447,Mary,Smith,Caguas,PR,29,5969.54
2180,Shirley,Smith,Stockbridge,GA,27,5969.44
10013,Jessica,Smith,Caguas,PR,29,5969.42
5682,Mary,Proctor,Redmond,WA,33,5961.26
12329,Scott,Norman,Caguas,PR,27,5959.42
3099,Brittany,Copeland,Caguas,PR,32,5957.35
4150,Jordan,Riley,Madera,CA,24,5955.47
7432,Betty,Smith,Columbus,OH,29,5954.45
6623,Christian,Turner,Aurora,CO,31,5954.34
1149,Cynthia,Harper,Caguas,PR,33,5954.32
1937,Mary,Werner,El Paso,TX,29,5953.12
3635,Catherine,Flowers,San Jose,CA,28,5949.45
10982,Joan,Harris,Caguas,PR,30,5946.25
3529,Victoria,Weaver,Endicott,NY,25,5944.42
1721,Jeremy,Hart,Ventura,CA,22,5939.44
5446,Mary,Smith,Douglasville,GA,28,5939.34
3257,Julia,Mcconnell,Columbia,SC,32,5939.18
9153,Sharon,Jenkins,Caguas,PR,28,5939.13
542,Mary,Smith,Caguas,PR,30,5935.44
3337,Jeffrey,Smith,Baltimore,MD,28,5929.29
4514,Carl,Nicholson,West Covina,CA,29,5928.32
2205,Wayne,Rodriguez,Caguas,PR,30,5926.32
12106,Mary,Smith,Los Angeles,CA,23,5924.32
634,Jack,Edwards,Riverside,CA,28,5924.29
5904,Catherine,Peterson,Caguas,PR,32,5923.42
3498,Elizabeth,Ramos,Caguas,PR,30,5922.3
8920,Linda,Smith,Troy,MI,30,5922.16
3603,Susan,Smith,Longmont,CO,29,5920.21
5739,Mary,Palmer,East Lansing,MI,25,5919.48
7744,Kathleen,Kelley,Garden Grove,CA,25,5919.46
7457,Cheryl,Smith,El Monte,CA,29,5919.32
5395,Mary,Bell,San Antonio,TX,23,5919.28
10831,Larry,Smith,San Diego,CA,27,5912.56
2708,Jennifer,Dominguez,Caguas,PR,31,5909.27
688,Kathy,Gross,Houston,TX,24,5909.24
8090,Mary,Martinez,Clarksville,TN,24,5899.42
9590,Adam,Smith,Caguas,PR,28,5899.34
9377,Carol,Leach,Philadelphia,PA,26,5899.29
6970,Helen,Long,Strongsville,OH,26,5898.3
5197,Brenda,Jordan,Caguas,PR,29,5894.24
9871,Jonathan,Smith,Panorama City,CA,29,5890.43
6959,Joan,Lin,Fairfield,OH,26,5890.25
2564,Phillip,Smith,Amarillo,TX,18,5889.54
1100,Megan,Moyer,Caguas,PR,28,5889.39
6473,Mary,Castillo,Long Beach,CA,28,5885.36
5755,Marie,Shah,Chicago,IL,28,5885.29
1379,Raymond,Harvey,Caguas,PR,31,5879.26
8368,Susan,Smith,Caguas,PR,28,5874.15
3373,Mary,Willis,Caguas,PR,30,5859.34
3297,Bryan,Lewis,Moreno Valley,CA,25,5859.21
8917,Mary,Smith,Caguas,PR,28,5857.4
194,Mary,Bates,Caguas,PR,26,5851.28
3816,Dorothy,Smith,Caguas,PR,26,5849.36
6862,Mary,Taylor,Watsonville,CA,24,5849.36
8012,Gregory,Smith,Hayward,CA,30,5849.34
4770,Andrea,Malone,Caguas,PR,22,5849.32
633,Mary,Campbell,Caguas,PR,30,5848.46
1868,Mary,Riddle,Far Rockaway,NY,29,5844.48
7082,Adam,Blair,Fort Lauderdale,FL,24,5844.39
1535,Frank,Livingston,Caguas,PR,29,5843.36
1503,Mary,Garner,Las Vegas,NV,25,5839.46
6836,Virginia,Smith,Albuquerque,NM,27,5839.38
5570,Mary,Smith,Mission Viejo,CA,23,5839.25
5821,Jessica,Humphrey,Hyattsville,MD,32,5837.31
8290,Benjamin,Jennings,Santa Ana,CA,30,5836.22
4596,Mary,Burns,Federal Way,WA,28,5834.2
1222,Michael,Garcia,Caguas,PR,26,5833.32
5606,Teresa,White,New York,NY,26,5829.37
6230,Kenneth,Cameron,Caguas,PR,33,5826.34
7123,Carl,Smith,Meridian,ID,26,5824.35
6948,Mary,Smith,Round Rock,TX,25,5824.33
8382,Joshua,Mullins,Fort Worth,TX,26,5824.33
6806,Catherine,Guerra,Caguas,PR,25,5823.51
6110,Mary,Smith,New York,NY,29,5823.37
8971,Mary,Gill,Caguas,PR,24,5819.46
5013,Mary,Peters,Reynoldsburg,OH,26,5815.39
8812,Mary,Woodward,Caguas,PR,26,5809.34
10612,Anna,Smith,Cleveland,OH,33,5804.1
10845,John,Smith,Caguas,PR,29,5801.22
5097,Jennifer,Moore,Martinez,CA,31,5799.39
698,Mary,Smith,Caguas,PR,25,5799.37
8166,Patricia,Smith,Aurora,IL,30,5799.33
8171,Benjamin,Cole,Temecula,CA,27,5797.27
10501,Jennifer,Richardson,Plymouth,MA,28,5796.09
5264,Mary,Smith,Caguas,PR,27,5794.28
2514,Mary,Luna,Caguas,PR,25,5791.4
3593,Christina,Lewis,Caguas,PR,29,5788.34
9513,Brian,Rice,Denver,CO,24,5784.19
2755,Andrew,Smith,Longmont,CO,27,5779.45
11755,Mary,Jackson,Caguas,PR,31,5779.39
173,Jose,Smith,Lombard,IL,31,5779.33
3051,John,Johnson,Sugar Land,TX,24,5779.24
9119,Mary,Smith,La Crosse,WI,23,5774.45
4512,Jane,Anderson,San Diego,CA,30,5771.32
9436,Mary,Torres,Caguas,PR,26,5769.54
9489,Danielle,Dixon,Miami,FL,31,5763.25
6789,Jessica,Mcintosh,Pompano Beach,FL,29,5759.44
9876,Mary,Smith,Caguas,PR,27,5759.38
9353,Michael,Scott,Caguas,PR,31,5757.21
238,Charles,Turner,Caguas,PR,27,5756.34
5784,Matthew,Wolfe,Antioch,TN,29,5756.22
1261,Victoria,Hancock,Fullerton,CA,28,5754.48
2508,Brandon,Adkins,Ann Arbor,MI,31,5753.33
10211,Jeffrey,Smith,Caguas,PR,28,5752.42
11741,Mary,Smith,Roseville,MI,29,5746.28
8666,Mary,Smith,Caguas,PR,34,5744.37
6156,Mary,Hernandez,Bronx,NY,27,5743.44
10653,Mary,Smith,Caguas,PR,30,5739.46
7830,Christina,Carroll,East Lansing,MI,25,5739.31
5873,Jerry,Clark,Caguas,PR,34,5739.25
3295,Maria,Joseph,Los Angeles,CA,28,5734.49
4257,William,Smith,Caguas,PR,25,5734.43
10967,Alexander,Cunningham,Caguas,PR,27,5734.41
10438,Barbara,Johnston,North Richland Hills,TX,33,5733.27
8027,James,Smith,Caguas,PR,25,5729.61
1658,Dylan,Conner,Los Angeles,CA,25,5729.42
2872,Mary,Ortiz,Bronx,NY,26,5729.36
10555,Mary,Howell,Van Nuys,CA,29,5728.19
11960,Ryan,Allen,Chesapeake,VA,29,5725.31
679,Grace,Smith,Caguas,PR,34,5724.21
9692,Carolyn,Price,Laredo,TX,28,5722.31
6125,Jeremy,Pennington,Caguas,PR,23,5719.58
5549,Kathryn,Smith,Brooklyn,NY,35,5717.11
10307,Bobby,Miller,Tustin,CA,30,5716.32
10407,William,Clay,West Chester,PA,28,5714.18
2553,Hannah,Ellison,Ontario,CA,27,5709.4
5579,Mary,Hurley,Elgin,IL,30,5709.27
4406,Mary,Smith,Caguas,PR,25,5704.39
2278,Marie,Smith,Reynoldsburg,OH,29,5699.6
10735,Albert,Valdez,Caguas,PR,28,5695.43
8895,Mary,Ferguson,Rio Rancho,NM,26,5695.35
578,Dylan,Knapp,Kaneohe,HI,29,5694.41
8769,Mary,Cantrell,Caguas,PR,21,5689.55
10081,Mary,Castillo,San Diego,CA,25,5689.52
5311,Mary,Smith,Brighton,MA,32,5689.52
4013,Gloria,Thornton,Caguas,PR,25,5689.35
3655,Karen,Conway,Mount Prospect,IL,29,5685.39
2555,Mary,Long,Costa Mesa,CA,28,5684.31
3755,Eugene,Smith,Los Angeles,CA,31,5683.21
3423,Mary,Smith,Caguas,PR,25,5682.26
3838,Joseph,Jackson,Caguas,PR,34,5681.21
603,Austin,Smith,Fresno,CA,23,5679.37
5200,Jennifer,Little,Hyattsville,MD,26,5679.24
6412,Mary,Smith,Las Vegas,NV,22,5679.21
2373,Mary,Smith,Goose Creek,SC,27,5674.37
11793,Thomas,Riley,Caguas,PR,27,5674.32
11513,David,Smith,Caguas,PR,28,5671.35
5410,Mary,Davis,Pittsburg,CA,25,5669.41
1865,Mary,Romero,Detroit,MI,25,5669.34
4930,Mary,Preston,Napa,CA,26,5669.31
827,Tyler,Smith,New York,NY,28,5669.28
1802,Cynthia,Smith,Caguas,PR,28,5668.3
2447,Mary,Smith,Caguas,PR,24,5664.49
9731,Mary,Smith,Baytown,TX,31,5663.36
9053,William,Smith,Tustin,CA,28,5663.25
12107,Sharon,Patterson,Caguas,PR,34,5662.1
8995,Mary,Smith,Mechanicsburg,PA,23,5659.5
6092,Mary,Smith,Caguas,PR,24,5654.54
10559,Mary,Jones,Caguas,PR,28,5654.27
